subject	message
"About Giuseppe's message (TellMeFirst APIs available for developers)"	"uHi all, Friends forwarded me Giuseppe Futia's message below and I thought I'd comment it. First of all, compliments to the TellMeFirst team! I very much like the way they present their results. Second and foremost, I realize that Italy is becoming a fertile land for semantic technologies and APIs based on DBPedia and Linked Open Data. Along with TellMeFirst, we can count our company (Machine Linking API, ( mature to absorbe such technology: how could we imagine a joint way to promote semantic applications in the Italian market? Best,"
"Links in Infobox and DBPedia"	"uHello there, I am kind of new to DBPedia so I just read the documentation provided at home as well as the article \"DBpedia - A Crystallization Point for the Web of Data\". As far as I understand, infoboxes are used to \"export\" wikipedia content to DBPedia. So I took a look at infobox here includes links to UniProt proteins, then I went to related to UniProt in there, maybe some thing like rdfs:seeAlso, but it is not. So, what kind of information from the infoboxes is actually included into DBPedia? Why links in infobox are not in DBPedia? Thansk in advanced for any help you can provide me in this regard. Cheers, Leyla Hello there, I am kind of new to DBPedia so I just read the documentation provided at home as well as the article 'DBpedia - A Crystallization Point for the Web of Data'. As far as I understand, infoboxes are used to 'export' wikipedia content to DBPedia. So I took a look at Leyla"
"Google Squared"	"uHi all, Google just launched it's Squared [1] search application, which arranges search results as tables and seems to be largely based on extracting information from Wikipedia (although Google claims it uses the whole Web, which according to my experiences seems to be only rarely the case). I wonder whether they also used some kind of infobox extraction - which I suspect due to the pretty good quality of the results. Cheers, Sören [1] uBut it is still very buggy: What does Bossam, a type of Korean cuisine have to do with the Semantic Web? Juan Sequeda, Ph.D Student Dept. of Computer Sciences The University of Texas at Austin www.juansequeda.com www.semanticwebaustin.org On Thu, Jun 4, 2009 at 3:57 PM, Sören Auer < >wrote: uJuan Sequeda wrote: Google is still working through text rather than entity graphs distilled from the pages in their indexes. And until they do this, they will not be able to achieve what we've been demonstrating for eons re: \"Entity Properties\" for disambiguated search (aka. Find). Another major flaw is that they don't expose identifiers for their results let alone using HTTP URIs as identifiers. What could interesting (becuase squared simply isn't), is if their URIs supported parameters for formats, and via this option they expose alternative representations of search results. This is all that is required for Google to be a more constructive Linked Web data provider. Kingsley uHi Sören, Sören Auer wrote: Actually, I think this work derives more from Alon Halevy's stuff and WebTables [1]. IMO this release is extremely significant and will pave the way to attribute characterizations for virtually any instance type imaginable. In fact, what they already have is massively impressive, though with false positives. This tsunami has been foreseeable for some time [2]. Thanks, Mike [1] [2] uMike Bergman wrote: Mike, Alon knows about Identifiers (he refers to them as GUIDs in his many writings about dataspaces and related topics), so why won't Google expose their GUIDs? Even if the GUIDs aren't HTTP URIs? Either way, the potential value remains immense. Until they expose the identifiers of the rows in those tables (presentation) or at least allow negotiation of search results representations, I will struggle to qualify their current release as impressive, in any shape or form :-) Kingsley"
"topical_concepts is gone"	"uThis is posted as > 2. skos:subject as used in topical_concepts is not good, since there's no such property. However, now the data is gone from dbpedia.org: this query returns only a few thousand. `select * {?x skos:subject ?y}` But the dataset This one finds no topical link: select * {dbcat:Programming_languages ?p dbr:Programming_language } And could someone explain where this skos:related came from? dbr:Category:Programming_languages skos:related dbr:Category:Programming_language_topics IMHO the topical links are quite important for some classification tasks. E.g. WiBitaxonomy could use them strongly to tie up the page vs category hierarchy."
"What's wrong with this SPARQL query?"	"uHi all, can you figure out why the following SPARQL query does not return any results on on PREFIX xsd: PREFIX dbpedia-owl: SELECT ?person WHERE{ ?person dbpedia-owl:birthDate \"1967-08-21\"^^xsd:date . } I suspect it's a problem of the \"official\" endpoint. Any idea about that? cheers, roberto uOn 9/14/11 1:14 PM, Roberto Mirizzi wrote: Short answer: DBpedia 3.7 has the property: . LOD Cloud Cache: . Detailed answer coming. uOn 9/14/11 1:14 PM, Roberto Mirizzi wrote: Roberto, I dropped a more detailed response on G+ at: includes revises SPARQL queries that leverage inference context so that property name disparity no longer messes up the SPARQL query results. One problem we've discovered is that our proxy settings are skewing the results. There are also some timezone issues that resulted from doing DBpedia dataset QA in one timezone and uploading the finished product to another, hence the tweaks to your original query re. timezone handling. uIl 14/09/2011 12:26, Kingsley Idehen ha scritto: Hi Kingsley, thank's for your short answer and for the long one. :-) Anyway, concerning to the short answer, if I ask a similar query on both endpoint, I get some results in both cases: PREFIX xsd: PREFIX dbpedia-owl: SELECT * WHERE{ ?person dbpedia-owl:birthDate ?d . } And if I go to dbpedia-owl:birthDate and dbpprop:dateOfBirth. Again, if I try the following query on both endpoints, I get some results on lod.openlinksw.com/sparql and no results on dbpedia.org/sparql: PREFIX xsd: PREFIX dbpprop: SELECT ?person WHERE{ ?person dbpprop:dateOfBirth \"1967-08-21\"^^xsd:date . } In other words, ?person dbpedia-owl:birthDate ?d . returns results on both ?person dbpedia-owl:birthDate \"1967-08-21\"^^xsd:date . no results on dbpedia ?person dbpprop:dateOfBirth ?d . returns results on both ?person dbpprop:dateOfBirth \"1967-08-21\"^^xsd:date . no results on dbpedia cheers, roberto uOn 9/15/11 3:53 PM, Roberto Mirizzi wrote: Inference context applied to both data spaces should harmonize your results :-)"
"URIs vs. other IDs (Was: New user interface for dbpedia.org)"	"uHi Kingsley, We are getting a bit off-topic here, but let me answer briefly On 07.02.2015 21:36, Kingsley Idehen wrote: That's not my point (I know the difference, of course). Wikidata stores neither Wikipedia URLs nor DBpedia URIs. It just stores Wikipedia article names together with Wikimedia site (project) identifiers. The work to get from there to the URL is the same as the work to get to the URI. Storing either explicitly in another property value would only introduce redundancy (and potential inconsistencies). In a Linked Data export you could easily include one or both of these URIs, depending on the application, but it's not so clear that doing this in a data viewer would make much sense. Surely it would not be useful if people would have to enter all of this data manually three times. On that note, is it the current best practice that all linked data exports include links to all other datasets that contain related information (exhaustive two-way linking)? That seems like a lot of triples and not very feasible if the LOD Web grows (a bit like two-way HTML linking ;-). Wouldn't it be more practical to integrate via shared key values? In this case, Wikipedia URLs might be a sensible choice to indicate the topic of a resource, rather than requiring all resources that have a Wikipedia article as their topic to cross link to all (quadratically many) other such resources directly. I would be curious to hear your take on this. Sure, but you are confusing the purpose of URIs with the underlying technical standard here. People use identifiers to refer to entities, or course, yet they do not use identifiers that are based on the URI standard. We both know about the limitations of this approach, but that does not change the shape of the IDs people use to refer to things (e.g., on Freebase, but it is the same elsewhere). Usually, if you want to interface with such data collections (be it via UIs or via APIs), you need to use their official IDs, while URIs are not supported. This is also the answer to your other comment. You are only seeing the purpose of the identifier, and you rightly say that there should be no big technical issue to use a URI instead. I agree, yet it has to be done, and it has to be done differently for each case. There is no general rule how to construct URIs from the official IDs used by open data collections on today's Web. A related \"problem\" is that most online data sets have UIs that are much more user friendly than any LOD browser could be based on the RDF they export. There is no incentive for users to click on a LOD-based view of, say, IMDB, if they can just go to the IMDB page instead. This should be taken into account when building a DBpedia LOD view (back on topic! ;-): people who want to learn about something will usually be better served by going to Wikipedia; the target audience of the viewer is probably a different group who wants to inspect the DBpedia data set. This should probably affect how the UI is built, and maybe will lead to different design decisions than in the Wikidata browser I mentioned. Markus uOn 2/7/15 6:07 PM, Markus Kroetzsch wrote: Markus, Cutting a long story real short. Yes, you have industry standard identifiers, ditto HTTP URI that identify things in regards to Linked Open Data principles. You simply use relations such as dcterms:identifier (and the like) to incorporate industry standard identifiers into an entity description. Even better, those relations should be inverse-functional in nature. That's really it. DBpedia Identifiers (HTTP URI based References) and Industry Standard Identifiers (typically literal in nature) aren't mutually exclusive. Getting back on topic, reasonator is a nice UI. What it lacks, from a DBpedia perspective, is incorporation of DBpedia URIs which is an issue the author of the tool assured me he will be addressing, as a high priority. uOn 2/8/15 11:28 AM, Kingsley Idehen wrote: Follow-up in regards to the above, our biggest concern boils down to dealing with the following challenges, which highly impact UI and UX: 1. replacing URIs with object of certain annotation oriented relations (rdfs:label, skos:prefLabel, skos:altLabel etc) 2. page results"
"Lookup's Keyword Search API is returning no results"	"uHello: The Keyword Search API has been returning a blank screen since 2013-04-07. Here is an example url: The Prefix Search API is performing nicely, however. Thanks, uHi there: The Keyword Search API is working this morning. Thanks to whoever fixed it!"
"Contd: RelFinder - Version 1.0 released"	"uSteffen Lohmann wrote: Phillip, Timo, Steffen, I forgot to add the following to my last mail. Re. Virtuoso option, do add an option for Inference Rules i.e., owl:sameAs (on | off), options for users to refer existing rules etc The net effect of this is that Relfinder will also be able to use smushing to enhance what it currently offers. To see how we do this look at one of the following, post completion of a facet/pivot filter sequence: 1. 2. When you describe an entity, note the \"Settings\" tab, this is where you enable: 1. owl:sameAs inference context 2. select an existing custom inference rule (e.g. b3sifp which shows custom use of foaf:name as an IFP). Again, these are just options that simply augment the slot you currently have for Virtuoso :-)"
"Dbpedia lookup results with the word ''Category"."	"uHi! I'm using that code: to send words and get candidate URIs from the DBpedia Lookup. The problem is: all the URIs come with the word \"Category\", for example: For the word \"Berlin\" it returns: instead of If I put the first URI (the one with the \"Category\") on the browser, it doesn't show me the page corresponding to the subject \"History_of_Berlin\", it returns me a page that contains a list of links and where I can find the link to \"History_of_Berlin\". But If I put the second URI (the one without \"Category\") it returns me the page corresponding to the subject \"History_of_Berlin\". How could I AVOID having these URIS WITH \"CATEGORY\" being returned from Lookup? Thank you! Hi! I&#39;m using that code: you!"
"Ontology Classes"	"uHi, Does anybody know what's happened to Ontology Classes page [1]? I don't see some important classes there anymore (e.g. Work [2]). [1] [2] Work uHi Sergey and All, Yes, we are aware of the problem and are working on it - will be fixed soon. Some new mappings between DBpedia and another ontology have caused this issue. Best, Volha On 7/14/2014 10:59 AM, Sergey Skovorodkin wrote: uHi Sergey, I deployed a fix to the server and now all classes should be listed again. Best, Daniel On 7/14/2014 11:10 AM, Volha Bryl wrote:"
"how to get all "?topic rdf:type dbpedia-owl:ChemicalCompound" ?"	"uHi all, I have looked at the download site, but could not figure out which link to use for all data, as the table only seems to give subset viewsand, when I use the the SPARQL end point, I only get the chemical compounds down to about 'C', instead of the full data set What am I doing wrong here? Egon uEgon, Do you want to know the *URI* of everything that's of type :ChemicalCompound? Or do you want the *data* about these things? All the data or just some of it (titles, abstracts, infoboxes, ?) Richard On 14 Jan 2009, at 09:57, Egon Willighagen wrote: uOn 1/14/09, Richard Cyganiak < > wrote: Eventually, I like to get hold of all the datahaving all the URIs is nice, as I can wget them one-by-one, but not so efficient, I guess Egon uHi, Egon uOn 1/14/09, Ted Thibodeau Jr < > wrote: I did notice not getting everythingthat's actually what I reportedI get everything from A to about 'C' Makes sense. uOn 1/14/09, Ted Thibodeau Jr < > wrote: PREFIX rdf: PREFIX dbpedia-owl: select distinct ?c where {?c rdf:type dbpedia-owl:ChemicalCompound} See: Should not be overly many hits The SPARQL end point now returns Egon uOn Jan 14, 2009, at 11:19 AM, Egon Willighagen wrote: See: Section 3 tells you about each of the downloads in Sections 1 and 2. (Yes, this presentation leaves something to be desired. Eventually, I'll figure out how to rework the templates for this auto-generated page.) Be seeing you, Ted uHi Egon, On Wed, Jan 14, 2009 at 5:19 PM, Egon Willighagen < > wrote: I think the DBpedia SPARQL endpoint limits the query results to 1000 entries, but you may use multiple queries with LIMIT and OFFSET to retrieve more: select distinct ?c where {?c rdf:type dbpedia-owl:ChemicalCompound} LIMIT 1000 OFFSET 0 select distinct ?c where {?c rdf:type dbpedia-owl:ChemicalCompound} LIMIT 1000 OFFSET 1000 select distinct ?c where {?c rdf:type dbpedia-owl:ChemicalCompound} LIMIT 1000 OFFSET 2000 [and so on until no results are returned] Julius uEgon uHi, Julius uOn 14 Jan 2009, at 15:34, Egon Willighagen wrote: Download this one: Then do a grep: grep \"/ontology/ChemicalCompound\" types-mappingbased.nt This gives you the 4390 rdf:type triples that involve ChemicalCompounds. Fetching them all with wget is probably more efficient than dealing with the several 100M triples contained in the entire dataset. Best, Richard uOn Wed, Jan 14, 2009 at 5:46 PM, Ted Thibodeau Jr < > wrote: Right, thanks for pointing this out! Julius"
"Core Datasets in other languages"	"uHi, Are you panning on releasing the remaining core datasets on all languages? I could really use the Articles Categories for Portuguese, as well as some redirection and disambiguation info for the PT Wikipedia as well. If you need someone who has Portuguese as a mother tongue, I can help you. Cheers, u+1. I'm aware that this may be difficult to achieve, but it could be worth some effort: For German, there are only 422,819 labels available in DBpedia for matching with other vocabs (versus 2,866,994 labels plus 3,117,024 redirects for English). The German Wikipedia has 864,699 pages and more than 609,000 redirects, so only a small part of the information available there can be used in DBpedia. Are there some ideas out there how foreign-language-only entries could be added to the DBpedia dataset? (and how we could get rid of foreign-language entries which are connected to the English version afterwards and therefore are sameAs the first class (English) DBpedia entries?) Cheers, Joachim uHello Joachim, I agree that there's a demand for URIs for foreign-language-only entries. One approach *could* be to create DBpedia namespaces for every language, such as languages with owl:sameAs links. So But this would mean minting a lot of new URIs, and I'm not completely convinced of that approach. But I don't really see another solution for the problem of URIs for foreign-language-only entries. We can't add the foreign entities to the main dbpedia namespace, because that would mess things up completely, and there certainly are a lot of articles with the same name but referring to different concepts across languages. Note that we can represent data extracted from infoboxes from other languages by using e.g. Named Graphs, so this is only about those entities which are *not* in the English Wikipedia as well. So I'd like to ask the community: 1) Do you like the above approach? 2) How deeply do you need URIs for non-english concepts (those which can't be added to the English Wikipedia) Cheers, Georgi uGeorgi Kobilarov wrote: Georgi, We have to mint new URIs, and there is nothing wrong with that; as along as each entity has an \"rdf:type\" that links into one or more reasonable taxonomies. The rest of the work is for inference and reasoning technology to handle. Language should not narrow the breadth or depth of potential conceptualization. Kingsley uOn 13 Feb 2009, at 18:08, Georgi Kobilarov wrote: I don't need the new URIs, but I think that the approach you described for minting language-specific identifiers is sound and the best that can be done. A single unified namespace would be better in theory, but I don't see any pragmatic possibility for managing such a namespace for DBpedia. Richard uThanks for the feedback so far! Seems like we should/will go for the approach of minting language-specific URIs for DBpedia resources and interlink them with owl:sameas. uThis would be a great means for using all these URIs. One thing I am not sure about, because I'm quite new in the Semantic Web: DBpedia is about things (persons, etc.). It would be an advantage to have one prefered URI for these things across all languages. Therefore, if a link between the English and the Italian wikipedia pages for an actor is established, and derived from this a DBpedia owl:sameAs, it would be nice to be able to express that the prefered URI is the one from dbpedia.org, not from it.dbpedia.org. This could also help if circles across languages should occur (eg. from redirects). I suppose that the problem is not specific to dbpedia, and maybe there are best practices in dealing with it I am not aware of. Cheers, Joachim"
"Announcing the Ontology2 Edition of DBpedia 2015-10"	"uPublic SPARQL endpoints, being a shared resource, often lack the performance and reliability that people need to do their projects. On the other hand, it can be a big hassle to get the required hardware and software together to work with large data sets in a database. That's why we've created the Ontology2 Edition of DBpedia 2015-10, available on the AWS Marketplace: This product consists of perfectly matched hardware, software and data to create your own private DBpedia SPARQL endpoint in minutes. With 50% more facts than the DBpedia SPARQL endpoint, the 2015-10 edition of DBpedia is richer than previous DBpedia distributions. More information about this product and how to use it can be found here: We invite you to try it out!"
"infobox_properties_en.nt file of DBPedia 3.8"	"uHi All, I am trying to check if infobox_properties_en.nt has valid RDF syntax. I found some errors, and that is why I could not able to load it into triple store. What would be the solution, if I want to load this file successfully? Thanks, Yashpal Hi All, I am trying to check if infobox_properties_en.nt has valid RDF syntax. I found some errors, and that is why I could not able to load it into triple store. What would be the solution, if I want to load this file successfully? Thanks, Yashpal uWhat are the errors? On 11 April 2013 16:55, Yashpal Pant < > wrote: u(We should include the list in our replies.) This is indeed an error. We'll try to fix this in the next release. At the moment, you could try to edit the file and replace the type \"#int\" by \"#integer\". On 12 April 2013 05:26, Yashpal Pant < > wrote: uHmI just checked the code and it looks like we already fixed this a long time ago: Jun 25, 2012 xsd:int -> xsd:integer But although we ran the extraction a month later, the file still contains xsd:int: curl -s | bunzip2 | less # started 2012-07-23T13:07:06Z \"299\"^^ . I don't know what went wrong. We should run InfoboxExtractor on a current Wikipedia dump and see what happens. JC On 12 April 2013 06:09, Jona Christopher Sahnwaldt < > wrote: uHi All, I could not load  infobox_properties_en.nt into sesame triple store, as it shows that this file is not valid RDF. If this file is not valid RDF, how can DBPedia people could able to load the file in the DBPedia SPARQL Endpoint available at:  Please suggest me a way, I want to load this file. Thnaks, Yash From: Jona Christopher Sahnwaldt < > To: Yashpal Pant < > Cc: dbpedia-discussion < > Sent: Sunday, April 14, 2013 3:08 PM Subject: Re: [Dbpedia-discussion] infobox_properties_en.nt file of DBPedia 3.8 HmI just checked the code and it looks like we already fixed this a long time ago: Jun 25, 2012 xsd:int -> xsd:integer But although we ran the extraction a month later, the file still contains xsd:int: curl -s | bunzip2 | less # started 2012-07-23T13:07:06Z \"299\"^^ . I don't know what went wrong. We should run InfoboxExtractor on a current Wikipedia dump and see what happens. JC On 12 April 2013 06:09, Jona Christopher Sahnwaldt < > wrote: uHi Yash, Can you tell us which triples cause the problem and we will try to fix them in the next release. In the meantime you can remove the wrong triples and load the rest of the dump. Best, Dimitris On Thu, May 2, 2013 at 9:58 AM, Yashpal Pant < > wrote:"
"RDF URI References in DBPedia N-Triples dump"	"uDear all, currently i'm trying to load triples from the DBPedia 3.7 dump (in particular de/page_links_de.nt). The parser is implemented on the definitions of Â (a) Â (b) Â (c) Â (d) Â (e) In (d) Â Â  [] and would produce a valid URI character sequence (per RFC2396 [URI], sections 2.1) representing an Â Â Â Â Â Â Â Â  absolute URI with optional fragment identifier when subjected to the encoding described below. [] the decoding is done by percent-octet encoding. So, a valid RDF URI doesn't contain [specified by (a) 2.4.1 and updated by (b)] following characters Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  unwise = \"{\" | \"}\" | \"|\" | \"\\" | \"^\" | \"`\" But a lot of triples seems to be invalid: . . around of 11k triples (out of 29900k) has such problems also lot of triples consists of non US-ASCII characters (currently encoded in preprocessing step) Are these problems induced by processing Wikipedia? BTW the NTriple specification should not be updated ( Regards, Andreas SMS schreiben mit WEB.DE FreeMail - einfach, schnell und kostenguenstig. Jetzt gleich testen! ?mc=021192 uDear Andreas you may find answers to similar questions in the mailing list archive Best, Dimitris On Mon, Oct 10, 2011 at 5:31 PM, Andreas Gebhardt < > wrote: uDear Dimitris, thank you - i found the reference to the invalid filenaming - Turtle instead of NTriple Best, Andreas SMS schreiben mit WEB.DE FreeMail - einfach, schnell und kostenguenstig. Jetzt gleich testen! ?mc=021192"
"New Entity Descriptor Document Formats"	"uAll, You may have picked this up from my tweets earlier today. We can now produce Atom (using OData's Atom+Feed dialect) based Descriptor Documents for Entities in DBpedia, LOD Cloud Cache, and any other Virtuoso based RDF store. Implications: Ultimately (once we iron some issues with existing 3rd party OData clients), transparent OData application access and exposure for all Descriptor Docs of all the LOD Cloud Cache and DBpedia Entities. Naturally, we encourage other RDF store providers to emulate what we've done re. building a bridge to the burgeoning OData realm (publication and consumption). Business of Linked Data Note: Microsoft has a market place for OData sets in place called \"Dallas\". In a nutshell, they want to make the process of curating and maintaining data sets sustainable via a compensation system. All you do is get your stall in their pre-furnished (till included) Data Mart :-) Links: 1. cKQAEV"
"get only certain data out DBpedia 3.8 Downloads"	"uHi, I have downloaded certain files for example instance_types_en.nt. I would like to extract specific information for example everything with or . I can use Excel but it is time consuming as the files are too big to put them in Excel. Also, I was thinking of processing the files by parsing the strings and save the information required in other file. However, my programming skills are rusty to say the least. Is there a way to get these specific datasets from dbpedia.org or do you know other website that can provide them? Thank you, Mike Hi, I have downloaded certain files for example instance_types_en.nt. I would like to extract specific information for example everything with < Mike uHi Mike, On 02/13/2013 03:21 PM, The Guy wrote: You can either use UNIX commands or SPARQL queries against one of the SPARQL endpoints [1, 2], to get the information you are looking for. * UNIX: grep ' ' instance_types_en.nt > output.nt where output.nt is the output file. * SPARQL: SELECT ?s WHERE {?s a } limit 1000 [1] [2] sparql uThank you Mohamed. Exactly what I needed. Is there any in built limitation? I used:     SPARQL: SELECT ?s WHERE {?s a } and I got a suspectly low and round number of 50,000 :) . For example Abraham_Lincoln is not in the CSV file I downloaded. Also, is there any 'magic' statement to get the short abstracts from 'short_abstracts_en.nq' for the 'categories' selected in 'instance_types_en.nt' be it 'Book', 'Place', etc.? Cheers, M From: Mohamed Morsey < > To: The Guy < > Cc: \" \" < > Sent: Wednesday, February 13, 2013 6:49:01 AM Subject: Re: [Dbpedia-discussion] get only certain data out DBpedia 3.8 Downloads Hi Mike, On 02/13/2013 03:21 PM, The Guy wrote: Hi, You can either use UNIX commands or SPARQL queries  against one of the SPARQL endpoints [1, 2], to get the information you are looking for. * UNIX: grep ' ' instance_types_en.nt > output.nt         where output.nt is the output file. * SPARQL: SELECT ?s WHERE {?s a } limit 1000 [1] [2] sparql u#!/bin/bash INSTANCE_TYPES_FILENAME=$1 SHORT_ABSTRACTS_TYPES_FILENAME=$2 while read line do first_part=( $line ) grep $first_part $SHORT_ABSTRACTS_TYPES_FILENAME done < $INSTANCE_TYPES_FILENAME"
"social participation data and ontologies in DBpedia"	"uDear users and developers, We made some social participation OWL ontologies and linked data representation of social participation platforms. Some of these developments are summarized in this article: , this UNDP report: and links therein. I thought a number of times in better integrating these developments to the LOD cloud and have the questions: *) Is this interesting to the DBpedia community? More specifically, is there any chance we can integrate the ontologies and the data to DBpedia? *) Should I think about a GSoC student proposal on this social participation integration conceptualizations and data to DBPedia? My apologies for not making this contact earlier, but I handed my doctorate dissertation a few days ago and could not concentrate as needed until now. Some info about my research and software development efforts are gathered here: Anyway, this topic might be of use for the DBPedia community as a whole and for developments outside GSoC. PS. I visited the \"get involved\" pages in wiki.dbpedia.org and am willing to help in a number of ways. I should be starting a postdoctorate soon and might emphasize the semantic web as we find suitable. Indeed, Brazillian research funding agencies are having some difficulties and I can apply for a DBpedia internship if you find it reasonable. The senior researchers of IFSC/USP (physics) and ICMC/USP (CS and mathematics) which I am related to are willing to formalize a partnership with other organizations. Best Regards, Renato Fabbri uHi Ghislain, On Thu, Mar 30, 2017 at 5:41 AM, Ghislain Atemezing < > wrote: These are described in section 4.1 of the article: Ex: and I published a preliminary version of this data in data hub: I might publish the up-to-date data if we (you included) find it reasonable. Yes! And the URIs do not deference by HTTP! We had them online in infrastructure from the USP cloud, but as Brazilian public entities are cutting funds, we lost it. If you know of any way I can put them online again, please drop me a line. + Do you have some links from your data to DBpedia dataset? Not anymore. I wanted to focus on the data consistency and links to external ontologies and databases should be brought again to life. Yes. Thanks. Maybe I should do this after the links to external resources are restored? PS. if you know of other discussion forums where I should present and mature there contributions, please tell me. Best, Renato uHi Renato, Good to hear that you are doing stuff on ontologies. I canât help for DBpedia but as a consumer, can I ask you these small questions: + could you point us to the data and ontologies URIs? + Do you consider publishing your data on the data hub [1] to make that visible to the rest of the community (not only DBPedians)? + This link + Do you have some links from your data to DBpedia dataset? + Could you please submit your ontologies to LOV [2] so that others can reuse? Best, Ghislain [1] > u0 *H÷  010  `He uThanks very much, Kingsley, your suggestions are noted. I wrote a GSoC proposal: Please feel free to comment at will. Best regards! On Thu, Mar 30, 2017 at 9:44 AM, Kingsley Idehen < > wrote:"
"Disambiguating nutritional facts infoboxes"	"uHi, I am looking at DBPedia for nutritional facts. I tried running a query: select distinct ?subject where { ?subject dbpprop:carbs ?value } limit 100 And I spotted a few issues (there might be more, but I stopped looking): 1. Take dbpedia:Squab_(food) as an example. The infobox on Wikipedia states \"There is some variation in nutritional content depending on the breed of utility pigeon used for squabbing.\". It is copied into DBPedia as a dbpprop:note, and I am not sure how to automatically figure out whether it relates to the infobox or not. Also I am missing the citation from Wikipedia. 2. Take dbpedia:Coconut as an example. The Wikipedia article has two infoboxes related to nutrition, one being \"Coconut-inner edible solid part, raw (fresh kopra)\", another \"coconut water\". In DBPedia all the values are collected, so every property have two values and I think it is almost impossible to figure out which value relates to which infobox. Furthermore the only place I see the name of the two infoboxes is the dbpprop:name, but it also contains two extra unrelated values. 3. Sometimes there is a source (e.g. USDA Nutrient Database). I can look at the property dbpprop:sourceUsda for an ID, but sometimes it just contains 1 if the infobox only links to the USDA search website in general and not the actual entry. Occasionally the value is just wrong, as in dbpedia:Orange_juice, where the USDA ID points to \"classic sirloin steak (10 oz)\". Maybe it is just because it was corrected on Wikipedia after the last import? 4. Sometimes there is a note saying \"Percentages are roughly approximated using US recommendations for adults\" including a link with further information. This information is not copied to DBPedia. How could this be improved. It might involve a lot of work, and I think the following points are important to consider: A. Create an ontology that corresponds to the combined ways of using the nutritional facts infobox. Create a resource for each infobox. B. Each nutritional facts resource must be named accordingly. It should contain notes if the values are uncertain in some way. It should reference sources if available. It should contain the percentage values and a note about how the percentage values are calculated including possible references for further information. C. Link each food/drink resource to one or more nutritional facts resource. Have I overlooked something? Is there any related work regarding this topic? Any comment is appreciated. Cheers, Bjarke Walling Hi, I am looking at DBPedia for nutritional facts. I tried running a query: select distinct ?subject where { ?subject dbpprop:carbs ?value } limit 100 And I spotted a few issues (there might be more, but I stopped looking): 1. Take dbpedia:Squab_(food) as an example. The infobox on Wikipedia states 'There is some variation in nutritional content depending on the breed of utility pigeon used for squabbing.'. It is copied into DBPedia as a dbpprop:note, and I am not sure how to automatically figure out whether it relates to the infobox or not. Also I am missing the citation from Wikipedia. 2. Take dbpedia:Coconut as an example. The Wikipedia article has two infoboxes related to nutrition, one being 'Coconut-inner edible solid part, raw (fresh kopra)', another 'coconut water'. In DBPedia all the values are collected, so every property have two values and I think it is almost impossible to figure out which value relates to which infobox. Furthermore the only place I see the name of the two infoboxes is the dbpprop:name, but it also contains two extra unrelated values. 3. Sometimes there is a source (e.g. USDA Nutrient Database). I can look at the property dbpprop:sourceUsda for an ID, but sometimes it just contains 1 if the infobox only links to the USDA search website in general and not the actual entry. Occasionally the value is just wrong, as in dbpedia:Orange_juice, where the USDA ID points to 'classic sirloin steak (10 oz)'. Maybe it is just because it was corrected on Wikipedia after the last import? 4. Sometimes there is a note saying 'Percentages are roughly approximated using US recommendations for adults' including a link with further information. This information is not copied to DBPedia. How could this be improved. It might involve a lot of work, and I think the following points are important to consider: A. Create an ontology that corresponds to the combined ways of using the nutritional facts infobox. Create a resource for each infobox. B. Each nutritional facts resource must be named accordingly. It should contain notes if the values are uncertain in some way. It should reference sources if available. It should contain the percentage values and a note about how the percentage values are calculated including possible references for further information. C. Link each food/drink resource to one or more nutritional facts resource. Have I overlooked something? Is there any related work regarding this topic? Any comment is appreciated. Cheers, Bjarke Walling uHi Bjarke, I work a bit on Food & Drink (edamam.com before, now Europeana Food & Drink which is not about nutrition but anyway). For edamam we processed recipes. We targeted USDA Standard Reference (is this the same as USDA Nutrient Database?). - We mapped normal food names (e.g. Steak) to one of the hundreds of steaks on USDA using a FreeBase dataset - We mapped ingredient lines (especially unit and number) using heuristics and duct tape. Oh it was so much fun! I haven't looked at nutrition info on Wikipedia, but knowing how fiddly is this info, I doubt it'd be structured and entered properly in every article to enable good extraction. You make a good point with Coconut: why put two foods on one page? AFAIK, DBpedia can't extract twice from the same page. I think you're better off looking at specialized sites. 1. Mostly about nutritional values, labels, countries of ready foods. Has a great number of varieties and brands. Mostly EN & FR 2. - info - very well done, but only Russian, from - eg 3. - info - food: 66k recipes, 22k persons, classified foods (eg seafood, spices) - foodista: 32k recipes - uses this ontology, let me know if you find a RDF file Even if not, you can model something similar in DBpedia; or use hRecipe or schema.org/Recipe"
